#,المجال,Sub-Area,الضابط,Risk Reference,Control Objective,Controls Implemented,Testing Steps,Framework Reference,Required Evidence,Maturity Level,Result,Comments
1.1,الحوكمة,الإطار العام للحوكمة,وجود إطار حوكمة IT معتمد,غياب إطار حوكمة واضح يُفضي إلى قرارات عشوائية,التأكد من وجود إطار حوكمة IT رسمي معتمد من مجلس الإدارة,"إطار COBIT 2019 معتمد، لجنة حوكمة IT مشكّلة، خطة IT استراتيجية","1. الحصول على وثيقة إطار الحوكمة والتحقق من الاعتماد
2. مراجعة محاضر لجنة IT (آخر 12 شهراً)
3. التأكد من ربط خطة IT بأهداف العمل
4. التحقق من وجود KPIs لأداء IT
5. تقييم تضمين متطلبات قانون حماية البيانات","COBIT 2019 EDM01, ISO 27001 A.5.1, CBJ 2021 المادة 3",وثيقة الإطار معتمدة | محاضر لجنة IT | خطة IT الاستراتيجية | تقارير KPI,1-5,
1.2,الحوكمة,الإطار العام للحوكمة,دور مجلس الإدارة في رقابة IT,غياب رقابة مجلس الإدارة على IT,التأكد من تلقّي مجلس الإدارة تقارير IT دورية,"تقارير IT ربع سنوية للمجلس، بند ثابت بجدول أعمال المجلس","1. مراجعة محاضر مجلس الإدارة (آخر 12 شهراً)
2. الحصول على تقارير IT المُقدَّمة للمجلس
3. التحقق من وجود لجنة تدقيق مستقلة
4. تقييم تدريب أعضاء المجلس على مخاطر IT","COBIT 2019 EDM01.02, ISO 27001 A.5.1, CBJ إطار الأمن السيبراني",محاضر مجلس الإدارة | تقارير IT | سجلات لجنة التدقيق,1-5,
1.3,الحوكمة,الإطار العام للحوكمة,السياسات والإجراءات الرسمية,غياب سياسات مكتوبة معتمدة,التأكد من وجود منظومة سياسات IT شاملة ومعتمدة,"مكتبة سياسات معتمدة تشمل: أمن المعلومات، إدارة الوصول، الاحتفاظ بالبيانات، BCP/DRP، دورة مراجعة سنوية","1. قائمة كاملة بسياسات IT المعتمدة
2. التحقق من اعتماد كل سياسة من مستوى إداري
3. مقارنة السياسات مع ISO 27001:2022
4. التحقق من نشر السياسات وإبلاغ الموظفين
5. مراجعة 5 سياسات عشوائياً","ISO 27001 A.5.1, COBIT 2019 APO01, تعليمات التدابير 2025 المادة 3",قائمة السياسات المعتمدة | تواريخ الاعتماد | سجلات إبلاغ الموظفين,1-5,
2.1,الحوكمة,الأدوار والمسؤوليات,تعريف الأدوار والمسؤوليات (RACI),غموض الأدوار يُفضي إلى فجوات رقابة,التأكد من تحديد أدوار ومسؤوليات بوضوح,"مصفوفة RACI لجميع وظائف IT الحرجة، تعيين رسمي لـ CISO، تعيين DPO","1. الحصول على مصفوفة RACI وتقييم شموليتها
2. التحقق من التعيين الرسمي لـ DPO (المادة 19/قانون 24/2023)
3. التأكد من استقلالية DPO وخط إبلاغه
4. مراجعة وصف الوظيفة لـ CISO
5. التحقق من وجود خلف (Backup) لكل دور حرج","قانون 24/2023 المادة 19, ISO 27001 A.5.2, COBIT 2019 APO01.02",مصفوفة RACI | قرار تعيين DPO | الوصف الوظيفي لـ CISO,1-5,
2.2,الحوكمة,الأدوار والمسؤوليات,التوعية والتدريب على الحوكمة,نقص الوعي بمتطلبات الحوكمة,التأكد من تدريب الإدارة والموظفين بشكل كافٍ,"برنامج تدريبي سنوي، جلسات توعية للإدارة العليا، اختبارات Phishing Simulation","1. مراجعة خطة التدريب السنوية والشموليتها
2. تدريب متخصص لمجلس الإدارة على مخاطر IT
3. سجلات الحضور ونسب المشاركة
4. اختبارات Phishing Simulation ونتائجها
5. إجراءات التعامل مع الموظفين غير المستوفين","ISO 27001 A.6.3, NIST CSF GV.AT, CBJ تعليمات المادة 8, قانون 24/2023 المادة 9/ب",خطة التدريب | سجلات الحضور | نتائج Phishing | اختبارات الفعالية,1-5,
3.1,الحوكمة,قياس الأداء والامتثال,مؤشرات الأداء الرئيسية (KPIs),غياب KPIs يجعل تقييم الأداء ذاتياً,التأكد من وجود KPIs معتمدة وقابلة للقياس,"لوحة KPIs ربع سنوية تشمل: وقت التشغيل، زمن الاستجابة، نسبة التدريب","1. قائمة KPIs المعتمدة وقابليتها للقياس
2. تقارير KPI لآخر 4 أرباع وتقييم الاتجاهات
3. أهداف محددة (Targets) لكل KPI
4. KPIs تشمل مؤشرات الأمن السيبراني
5. رفع تقارير KPI للإدارة العليا","COBIT 2019 MEA01, ISO 27001 A.9.1, NIST CSF GV.OC",قائمة KPIs المعتمدة | تقارير الأداء الربع سنوية | محاضر مراجعة الإدارة,1-5,
3.2,الحوكمة,قياس الأداء والامتثال,الامتثال التنظيمي العام,عدم الامتثال للمتطلبات التنظيمية,التأكد من إطار متكامل لمتابعة الامتثال,"خريطة امتثال تنظيمي محدّثة، آلية متابعة التشريعات الجديدة، تقارير امتثال دورية","1. خريطة الامتثال التنظيمي وشموليتها
2. آلية متابعة التشريعات الجديدة (قانون 24/2023، CBJ)
3. آخر تقييم امتثال داخلي والفجوات المكتشفة
4. خطة معالجة فجوات الامتثال مع جداول زمنية
5. مخاطر عدم الامتثال بسجل المخاطر المؤسسي","قانون 24/2023, CBJ إطار الأمن, ISO 27001 A.5.31, A.5.36",خريطة الامتثال | تقرير التقييم الأخير | خطة معالجة الفجوات,1-5,
4.1,الحوكمة,التدقيق الداخلي والرقابة,استقلالية التدقيق الداخلي,ضعف استقلالية التدقيق يُقلّل من موضوعيته,التأكد من استقلالية دائرة التدقيق الداخلي,"ميثاق تدقيق معتمد، خط إبلاغ مباشر للجنة التدقيق، صلاحية وصول كاملة","1. مراجعة ميثاق التدقيق الداخلي وشموليته
2. خط إبلاغ مباشر للجنة التدقيق/مجلس الإدارة
3. صلاحية الوصول لجميع الأنظمة دون قيود
4. خطة التدقيق السنوية وتغطيتها للمخاطر الحرجة
5. متابعة تنفيذ توصيات التدقيق السابقة","معايير IIA, COBIT 2019 MEA02, ISO 27001 A.5.35",ميثاق التدقيق الداخلي | خطة التدقيق | تقرير متابعة التوصيات,1-5,
5.1,أمن المعلومات,إدارة الوصول,سياسة إدارة الوصول (IAM),وصول غير مصرح قد يؤدي لتسرب بيانات,التأكد من وجود نظام قوي لإدارة الوصول,"نظام IAM معتمد، سياسة إدارة الوصول موثقة، مراجعة دورية للصلاحيات","1. وثيقة سياسة IAM الموثقة والمعتمدة
2. نظام إدارة الوصول (مركزي/موحد)
3. مراجعة دورية (ربع سنوية) للصلاحيات
4. عملية طلب وإلغاء الوصول موثقة
5. أدلة على رقابة الوصول لـ 10 موظفين عشوائيين","ISO 27001 A.6.2, A.9.2, COBIT 2019 APO09, NIST AC-2",سياسة IAM | نظام إدارة الوصول | سجلات المراجعة | طلبات الوصول,1-5,
5.2,أمن المعلومات,إدارة الوصول,فصل الواجبات (Segregation of Duties),تضارب المسؤوليات قد يسهل الاحتيال,التأكد من فصل الواجبات في العمليات الحرجة,"خريطة فصل الواجبات موثقة، نظام SAP/ERP معتمد، مراجعة دورية","1. خريطة فصل الواجبات للعمليات الحرجة
2. التحقق من التطبيق في الأنظمة (مثل SAP)
3. عدم تراكم صلاحيات الإنشاء والموافقة والتنفيذ
4. مراجعة دورية (نصف سنوية) للعمليات الحرجة
5. اختبار 5 عمليات عشوائية","ISO 27001 A.6.1.5, COBIT 2019 APO06, COSO Framework",خريطة فصل الواجبات | تقارير SAP | سجلات المراجعة,1-5,
