#,المخطر,الوصف,التصنيف,احتمالية,التأثير,درجة المخاطر,الضوابط المرتبطة,الحالة
1,غياب إطار حوكمة واضح,عدم وجود إطار معتمد يؤدي لقرارات عشوائية وضعف المساءلة,High,High,High,Critical,1.1 | 1.2 | 1.3,Active
2,ضعف رقابة مجلس الإدارة,عدم إشراف المجلس على IT يؤدي لفقدان توجيه استراتيجي,High,High,High,Critical,1.2 | 2.1,Active
3,غياب السياسات الموثقة,عدم وجود سياسات مكتوبة يؤدي لعمليات غير منتظمة,High,High,High,Critical,1.3 | 3.1,Active
4,غموض الأدوار والمسؤوليات,عدم وضوح من يفعل ماذا يؤدي لفجوات رقابة وتضارب,High,High,Medium,High,2.1 | 4.1 | 4.2,Active
5,نقص الوعي والتدريب,عدم تدريب الموظفين يؤدي لأخطاء أمنية وعدم امتثال,High,High,Medium,High,2.2 | 5.1 | 5.2,Active
6,غياب KPIs واضحة,عدم وجود مؤشرات أداء يجعل التقييم ذاتياً وغير قابل للمقارنة,Medium,High,Medium,High,3.1 | 6.1 | 6.2,Active
7,عدم الامتثال التنظيمي,عدم الامتثال لقانون 24/2023 و CBJ يؤدي لغرامات وعقوبات,High,High,High,Critical,3.2 | 7.1 | 7.2,Active
8,ضعف استقلالية التدقيق,عدم استقلالية التدقيق يقلل من موضوعية النتائج,High,Medium,High,High,4.1 | 8.1 | 8.2,Active
9,ضعف إدارة الوصول,وصول غير مصرح يؤدي لتسرب البيانات والاحتيال,High,High,High,Critical,5.1 | 5.2 | 5.3 | 5.4,Active
10,كلمات مرور ضعيفة,كلمات مرور غير آمنة تسهل اختراق الحسابات,High,High,High,Critical,5.3,Active
11,غياب المصادقة متعددة العوامل,حسابات بدون MFA عرضة للاختراق,High,High,High,Critical,5.4,Active
12,عدم تصنيف البيانات,عدم معرفة أي بيانات حساسة قد تؤدي لحماية غير مناسبة,High,Medium,High,High,6.1,Active
13,عدم تشفير البيانات أثناء النقل,بيانات غير مشفرة قد تُختَرَق أثناء النقل,High,High,High,Critical,6.2,Active
14,عدم تشفير البيانات أثناء التخزين,بيانات غير مشفرة في التخزين قد تُسرَق,High,High,High,Critical,6.3,Active
15,سوء إدارة المفاتيح التشفيرية,عدم إدارة آمنة للمفاتيح يجعل التشفير غير فعال,High,Medium,High,High,6.4,Active
16,غياب جدران النار,عدم وجود حماية محيطية يسمح بوصول غير مصرح,High,High,High,Critical,7.1,Active
17,غياب نظام الكشف عن الاختراقات,عدم كشف الهجمات يؤخر الاستجابة والتعافي,High,High,High,Critical,7.2,Active
18,غياب VPN آمن للعمل من بعيد,اتصالات غير محمية من بعيد قد تعرض البيانات,High,High,High,Critical,7.3,Active
19,عدم تسجيل الأحداث (Logging),عدم التسجيق يمنع تتبع الانتهاكات والجرائم,High,High,High,Critical,8.1,Active
20,غياب المراقبة والتنبيهات,عدم الكشف السريع عن الحوادث يؤخر الاستجابة,High,High,High,Critical,8.2,Active
21,عدم تقييم المخاطر,عدم معرفة المخاطر يؤدي لمفاجآت أمنية,High,High,High,Critical,9.1,Active
22,عدم معالجة المخاطر,عدم وجود خطة معالجة يترك التعرض دون حماية,High,High,High,Critical,9.2,Active
23,عدم مراقبة المخاطر,عدم متابعة المخاطر قد تظهر مخاطر جديدة غير معروفة,High,Medium,High,High,9.3,Active
24,غياب خطة استمرارية العمل,عدم وجود BCP قد يؤدي لفقدان العمليات الحرجة,High,High,High,Critical,10.1,Active
25,عدم اختبار خطة الكوارث,عدم اختبار DRP قد يكشف فجوات حرجة,High,Medium,High,High,10.2,Active
26,غياب موقع بديل,عدم وجود موقع بديل قد يعطل العمليات بشكل نهائي,High,High,High,Critical,10.3,Active
27,عدم الامتثال لقانون 24/2023,عدم الامتثال قد يسبب غرامات من 5,000 إلى 50,000 د.ا,High,High,High,Critical,11.1,Active
28,عدم معالجة طلبات حقوق الأفراد,تأخير الاستجابة قد ينتهك حقوق الأفراد,High,Medium,High,High,11.2,Active
29,عدم إبلاغ الانتهاكات,عدم الإبلاغ عن الانتهاكات قد يفاقم المشكلة,High,High,High,Critical,11.3,Active
30,غياب شهادة ISO 27001,عدم الحصول على شهادة معترفة قد يقلل الثقة,Medium,Medium,Medium,Medium,12.1,Active
31,عدم تطبيق COBIT 2019,عدم تطبيق معايير معترفة قد يؤدي لحوكمة ضعيفة,Medium,Medium,Medium,Medium,12.2,Active
