#,Risk ID,بيان الخطر (Risk Statement),وصف الخطر,الفئة,الاحتمالية,التأثير,درجة الخطر الكامنة,الضوابط الموجودة,مالك الضابط,درجة الخطر المتبقية,معالجة الخطر,الحالة,منطقة التدقيق
1,HRMS-001,قد تؤدي صلاحيات غير متوافقة مع الدور الوظيفي إلى وصول غير مصرح وتضارب مسؤوليات,منح صلاحيات لا تتطابق مع متطلبات الوظيفة الفعلية للموظف,Access Control,High,High,Critical,مصفوفة الأدوار والصلاحيات جزئية,HR & HRMS Admin,High,Mitigate - ضوابط وصول قوية,Active,HRMS Access Management
2,HRMS-002,قد تؤدي الموافقات غير الموثقة إلى منح صلاحيات غير مصرحة,منح صلاحيات دون الحصول على موافقة من المدير المباشر أو الإدارة المختصة,Access Control,High,High,Critical,عملية موافقة أساسية موجودة,HR Manager,High,Mitigate - عملية موافقة قوية,Active,HRMS Access Management
3,HRMS-003,قد تؤدي الصلاحيات المتبقية إلى وصول متبقي غير مصرح بعد تغيير الوظيفة,عدم إزالة الصلاحيات القديمة عند تغيير الموظف لوظيفة جديدة,Access Control,High,High,Critical,إجراء تغيير يدوي موجود,HR & HRMS Admin,High,Mitigate - عملية تحديث آلية,Active,HRMS Access Management
4,HRMS-004,قد تؤدي التأخيرات إلى استمرار وصول الموظفين المنتهية خدماتهم,تأخر كبير في إلغاء صلاحيات الموظفين المنتهية خدماتهم,Access Control,High,High,Critical,عملية إنهاء يدوية موجودة,HR & HRMS Admin,High,Mitigate - عملية إنهاء آلية فورية,Active,HRMS Access Management
5,HRMS-005,قد تؤدي الحسابات المتروكة إلى وصول غير معروف والتلاعب بالبيانات,وجود حسابات مستخدمين متروكة بدون مالك أو نشاط (Orphan Accounts),Access Control,High,High,Critical,مراجعة حسابات سنوية فقط,HRMS Admin,High,Mitigate - مراجعة ربع سنوية,Active,HRMS Access Management
6,HRMS-006,قد تؤدي الصلاحيات المتراكمة إلى تجاوز مبدأ أقل صلاحية,تراكم الصلاحيات بشكل تدريجي بدون إزالة القديمة (Privilege Creep),Access Control,High,High,Critical,مراقبة جزئية للصلاحيات,HRMS Admin,High,Mitigate - مراقبة دورية قوية,Active,HRMS Access Management
7,HRMS-007,قد يؤدي الوصول غير المبرر إلى بيانات الرواتب إلى تسرب بيانات حساسة,وصول غير مصرح لموظفين بدون حاجة وظيفية لبيانات الرواتب والتعويضات,Access Control,High,High,Critical,قيود وصول أساسية موجودة,HRMS Admin & HR,High,Mitigate - قيود وصول قوية,Active,HRMS Access Management & Data Protection
8,HRMS-008,قد تؤدي صلاحيات التعديل والموافقة لنفس الشخص إلى احتيال والتلاعب,إمكانية تعديل بيانات الرواتب والموافقة عليها من قبل نفس المستخدم,Access Control,High,High,Critical,فصل واجبات أساسي موجود,Finance & HRMS Admin,High,Mitigate - فصل واجبات قوي,Active,HRMS Access Management & Financial Controls
9,HRMS-009,قد تؤدي الموافقة الذاتية إلى تعديل بيانات خاطئة أو احتيالية,إمكانية تعديل بيانات الموظف والموافقة عليها من قبل نفس المستخدم,Access Control,High,High,Critical,فصل واجبات أساسي موجود,HR & HRMS Admin,High,Mitigate - فصل واجبات قوي,Active,HRMS Access Management
10,HRMS-010,قد تؤدي الصلاحيات الإدارية المفرطة إلى وصول غير مراقب,منح صلاحيات Administrator بدون مبرر حقيقي أو فصل مناسب,Access Control,High,High,Critical,قيود صلاحيات أساسية موجودة,HRMS Admin,High,Mitigate - تقليل الصلاحيات الإدارية,Active,HRMS Access Management
