#,ISO 27001:2022,الوصف,الضوابط المرتبطة,حالة التطبيق,ملاحظات
1,A.5.1,وجود سياسات وإجراءات لإدارة أمن المعلومات,1.1 | 1.3 | 3.1 | 3.2,تطبيق شامل,السياسات موثقة ومعتمدة
2,A.5.2,تعيين الأدوار والمسؤوليات,2.1 | 4.1 | 4.2 | 4.3,تطبيق شامل,CISO و DPO معيّنان رسمياً
3,A.5.3,مسؤولية الإدارة والموارد,2.1 | 2.2 | 5.1,تطبيق جزئي,يحتاج تحسين تخصيص الموارد
4,A.5.4,فصل المسؤوليات (Segregation of Duties),9.3 | 9.4,تطبيق جزئي,في العمليات المالية فقط
5,A.5.5,الاتصال والتشاور,2.1 | 2.2 | 5.1,تطبيق شامل,قنوات اتصال موجودة وفعّالة
6,A.5.6,التنسيق مع جهات خارجية,5.1 | 11.1,تطبيق جزئي,يحتاج تنسيق أفضل مع الموردين
7,A.5.7,الحالات الطارئة والأزمات,8.2 | 10.2 | 11.3,تطبيق جزئي,خطة استجابة موجودة لكن تحتاج اختبار
8,A.5.8,الوثائق والعمليات,1.3 | 3.1 | 6.1,تطبيق شامل,معظم العمليات موثقة
9,A.5.9,إدارة المخاطر,9.1 | 9.2 | 9.3 | 13.1 | 13.2 | 13.3,تطبيق شامل,تقييم دوري للمخاطر
10,A.5.10,تحسين أمن المعلومات,12.3 | 16.2,تطبيق جزئي,يحتاج خطة تحسين منهجية
11,A.5.31,الامتثال التنظيمي,7.1 | 7.2 | 7.3 | 11.1,تطبيق جزئي,خريطة امتثال موجودة
12,A.5.35,استقلالية التدقيق الداخلي,8.1 | 8.2 | 8.3 | 8.4,تطبيق شامل,التدقيق مستقل وله صلاحيات
13,A.5.36,تطبيق إجراءات معالجة الانتهاكات,11.3 | 8.2,تطبيق جزئي,إجراءات موجودة تحتاج تحسين
14,A.6.1,التصنيف والمعالجة,6.1 | 9.1,تطبيق جزئي,تصنيف أساسي موجود
