#,Risk ID,بيان الخطر (Risk Statement),وصف الخطر,الفئة,الاحتمالية,التأثير,درجة الخطر الكامنة,الضوابط الموجودة,مالك الضابط,درجة الخطر المتبقية,معالجة الخطر,الحالة,منطقة التدقيق
1,IT-001,قد تؤدي قرارات IT العشوائية والغير منظمة إلى انحراف استراتيجي وضعف المساءلة,غياب إطار حوكمة وإدارة IT موحد يؤدي لقرارات غير منسقة,Governance,High,High,Critical,إطار COBIT مجزأ | لجنة حوكمة غير منتظمة,CISO,High,Mitigate - تطبيق إطار موحد,Active,IT Governance
2,IT-002,قد يؤدي غياب رقابة المجلس إلى عدم الرصد المبكر للأخطار الاستراتيجية,ضعف الإشراف من مجلس الإدارة على مخاطر IT,Governance,High,High,Critical,تقارير IT سنوية فقط,CISO,High,Mitigate - تقارير ربع سنوية,Active,IT Governance
3,IT-003,قد تؤدي العمليات غير الموثقة إلى تطبيق غير متسق وأخطاء تشغيلية,غياب مكتبة سياسات وإجراءات موثقة معتمدة,Governance,High,Medium,High,سياسات جزئية موجودة,CISO,Medium,Mitigate - توثيق شامل,Active,IT Governance
4,IT-004,قد تؤدي غموض المسؤوليات إلى فجوات في الرقابة وتضارب في الصلاحيات,عدم وضوح تام للأدوار والمسؤوليات في وظائف IT الحرجة,Governance,High,High,Critical,مصفوفة RACI موجودة لكن غير محدثة,CISO,High,Mitigate - تحديث RACI,Active,IT Governance
5,IT-005,قد تؤدي أخطاء الموظفين المتعلقة بأمن المعلومات إلى حوادث أمنية وتسرب بيانات,نقص كبير في الوعي والتدريب على متطلبات الأمن والحوكمة,Awareness,High,High,Critical,برنامج تدريب سنوي بسيط,HR & CISO,High,Mitigate - برنامج تدريب شامل,Active,Governance & Security
6,IT-006,قد تؤدي عدم معرفة الأداء الفعلي إلى عدم اكتشاف الانحرافات والمشاكل,غياب مؤشرات أداء واضحة وقابلة للقياس لـ IT,Governance,Medium,High,High,KPIs موجودة لكن غير متابعة,CISO,Medium,Mitigate - متابعة دورية للـ KPIs,Active,Performance Management
7,IT-007,قد يؤدي عدم الامتثال للتشريعات إلى غرامات تنظيمية وأضرار سمعة,ضعف الامتثال لمتطلبات قانون 24/2023 وتعليمات البنك المركزي,Compliance,High,High,Critical,خريطة امتثال موجودة لكن ناقصة,CISO & DPO,High,Mitigate - تقييم امتثال شامل,Active,Compliance & Legal
8,IT-008,قد تؤدي ضعف استقلالية التدقيق إلى عدم كشف الانتهاكات والنقاط الضعيفة,قلة الاستقلالية والصلاحيات والموارد في دائرة التدقيق الداخلي,Governance,High,Medium,High,ميثاق تدقيق موجود,Internal Audit,Medium,Mitigate - تعزيز استقلالية التدقيق,Active,Internal Audit
9,IT-009,قد يؤدي الوصول غير المصرح إلى تسرب البيانات والاحتيال والتلاعب بالعمليات,ضعف نظام إدارة الوصول وعدم فرض مبدأ أقل صلاحية (Least Privilege),Access Control,High,High,Critical,نظام IAM معتمد لكن ضعيف,CISO,High,Mitigate - تحسين IAM,Active,Access Management
10,IT-010,قد تؤدي كلمات المرور الضعيفة إلى اختراق الحسابات والوصول غير المصرح,عدم تطبيق سياسة قوية لإدارة كلمات المرور,Access Control,High,High,Critical,سياسة كلمات مرور أساسية فقط,CISO,High,Mitigate - سياسة قوية,Active,Access Management
