#,Risk ID,بيان الخطر,فئة الخطر,درجة الخطر,Control ID,اسم الضابط,هدف الضابط,رقم إجراء الاختبار,وصف إجراء الاختبار,حجم العينة,البيانات المطلوبة,النتيجة المتوقعة,مرجع WP,منطقة التدقيق,المحور
1,HRMS-001,قد تؤدي صلاحيات غير متوافقة مع الدور الوظيفي إلى وصول غير مصرح وتضارب مسؤوليات,Access Control,Critical,HRMS-C-001,مصفوفة الأدوار والصلاحيات,ضمان أن الصلاحيات تتطابق بالضبط مع المتطلبات الوظيفية,HRMS-T-001,تحديد 10 موظفين عشوائيين من أدوار مختلفة والتحقق من توافق صلاحياتهم مع مصفوفة الأدوار المعتمدة والوصول لـ HRMS والتحقق من الصلاحيات الفعلية مقابل المصفوفة,10,طباعة الصلاحيات من HRMS | مصفوفة الأدوار المعتمدة | أوصاف الوظائف,جميع الصلاحيات متوافقة 100% مع المصفوفة بدون انحرافات,WP-01,HRMS Access Management,A - Identity & Access
2,HRMS-002,قد تؤدي الموافقات غير الموثقة إلى منح صلاحيات غير مصرحة,Access Control,Critical,HRMS-C-002,عملية طلب وموافقة الصلاحيات,ضمان أن كل صلاحية يتم منحها بناءً على موافقة رسمية موثقة,HRMS-T-002,اختيار 15 حالة منح صلاحيات من آخر 3 أشهر والتحقق من وجود نموذج طلب موقع والتحقق من وجود موافقة من المدير المباشر والتحقق من توثيق الموافقة في السجل,15,نماذج طلبات الصلاحيات | تواقيع الموافقة | سجل النظام | بيانات HR,جميع 15 حالة لديها موافقات موثقة وموقعة,WP-02,HRMS Access Management,A - Identity & Access
3,HRMS-003,قد تؤدي الصلاحيات المتبقية إلى وصول متبقي غير مصرح بعد تغيير الوظيفة,Access Control,Critical,HRMS-C-003,عملية تحديث الصلاحيات عند تغيير الوظيفة,ضمان عدم بقاء صلاحيات غير ضرورية بعد تغيير الوظيفة,HRMS-T-003,الحصول على قائمة الموظفين الذين تم تغيير وظائفهم في آخر 3 أشهر اختيار 8 حالات والتحقق من إزالة الصلاحيات القديمة والتحقق من إضافة الصلاحيات الجديدة والتحقق من التوثيق,8,قائمة تغييرات الوظائف من HR | صلاحيات سابقة وحالية من HRMS | سجل التغييرات,جميع الصلاحيات القديمة تم حذفها والجديدة تم إضافتها بشكل صحيح,WP-03,HRMS Access Management,A - Identity & Access
4,HRMS-004,قد تؤدي التأخيرات إلى استمرار وصول الموظفين المنتهية خدماتهم,Access Control,Critical,HRMS-C-004,عملية فوري لإلغاء صلاحيات الموظفين المنتهية خدماتهم,ضمان عدم استمرار الوصول بعد الإنهاء,HRMS-T-004,الحصول على قائمة الموظفين المنتهية خدماتهم من آخر شهر اختيار 5 حالات والتحقق من تاريخ الإنهاء والتحقق من تاريخ إلغاء الصلاحيات والتحقق من فورية الإلغاء (نفس اليوم),5,قائمة الموظفين المنتهية من HR | تواريخ الإنهاء | سجل إلغاء الصلاحيات | السجلات الأمنية,جميع الصلاحيات تم إلغاؤها في نفس يوم الإنهاء أو قبله,WP-04,HRMS Access Management,A - Identity & Access
5,HRMS-005,قد تؤدي الحسابات المتروكة إلى وصول غير معروف والتلاعب بالبيانات,Access Control,Critical,HRMS-C-005,مراجعة دورية للحسابات المتروكة,تحديد والقضاء على حسابات Orphan,HRMS-T-005,سحب تقرير بآخر نشاط لكل مستخدم في HRMS تحديد الحسابات الخاملة (بدون نشاط لـ 6 أشهر) اختيار 20 حساب خامل والتحقق من حالتهم التحقق من إغلاق الحسابات غير المبررة,20,تقرير النشاط من HRMS | قائمة الحسابات الخاملة | سجل إغلاق الحسابات | توثيق الحالة,جميع الحسابات الخاملة إما مغلقة أو مبررة بشكل موثق,WP-05,HRMS Access Management,A - Identity & Access
6,HRMS-006,قد تؤدي الصلاحيات المتراكمة إلى تجاوز مبدأ أقل صلاحية,Access Control,Critical,HRMS-C-006,مراقبة Privilege Creep,ضمان عدم تجاوز الصلاحيات لمبدأ أقل صلاحية,HRMS-T-006,سحب تقرير الصلاحيات لجميع المستخدمين مقارنة الصلاحيات مع مصفوفة الأدوار اختيار 25 موظف والتحقق من وجود صلاحيات زائدة أو متراكمة التحقق من إزالة الزائدة,25,تقرير الصلاحيات الكامل | مصفوفة الأدوار | سجل الإزالة,لا توجد صلاحيات متراكمة أو زائدة على 95% من المستخدمين,WP-06,HRMS Access Management,A - Identity & Access
7,HRMS-007,قد يؤدي الوصول غير المبرر إلى بيانات الرواتب إلى تسرب بيانات حساسة,Data Protection,Critical,HRMS-C-007,تقييد الوصول إلى بيانات الرواتب,منع الوصول غير المبرر إلى البيانات الحساسة,HRMS-T-007,الحصول على قائمة الأشخاص الذين لديهم وصول لبيانات الرواتب التحقق من وجود مبرر وظيفي لكل شخص اختيار 12 مستخدم والتحقق من أن الوصول مقيد وآمن مراجعة سجل الوصول,12,قائمة الوصول للرواتب | المبررات الوظيفية | سجل الوصول | موافقات من Finance,جميع الوصول له مبرر وظيفي واضح وموثق,WP-07,HRMS Access Management & Data Protection,B - Sensitive Data & SoD
8,HRMS-008,قد تؤدي صلاحيات التعديل والموافقة لنفس الشخص إلى احتيال والتلاعب,Access Control,Critical,HRMS-C-008,فصل الواجبات في تعديل الرواتب,منع التلاعب والاحتيال في الرواتب,HRMS-T-008,مراجعة 20 تعديل راتب من آخر 3 أشهر التحقق من أن من قام بالتعديل مختلف عن من قام بالموافقة التحقق من تطبيق الفصل في إعدادات النظام التحقق من السجل,20,سجل تعديلات الرواتب | معلومات من قام بالتعديل والموافقة | إعدادات HRMS,لا توجد حالة واحدة حيث تعديل الراتب والموافقة من نفس الشخص,WP-08,HRMS Access Management & Financial Controls,B - Sensitive Data & SoD
9,HRMS-009,قد تؤدي الموافقة الذاتية إلى تعديل بيانات خاطئة أو احتيالية,Access Control,Critical,HRMS-C-009,فصل الواجبات في تعديل بيانات الموظف,منع التعديلات الاحتيالية على بيانات الموظفين,HRMS-T-009,مراجعة 15 تعديل بيانات موظف من آخر 3 أشهر التحقق من أن من قام بالتعديل مختلف عن من قام بالموافقة التحقق من تطبيق الفصل في النظام مراجعة السجل,15,سجل تعديلات بيانات الموظفين | معلومات من قام بالتعديل والموافقة | إعدادات HRMS,لا توجد حالة واحدة حيث التعديل والموافقة من نفس الشخص,WP-09,HRMS Access Management,B - Sensitive Data & SoD
10,HRMS-010,قد تؤدي الصلاحيات الإدارية المفرطة إلى وصول غير مراقب,Access Control,Critical,HRMS-C-010,تقليل الصلاحيات الإدارية,تقليل نقاط الدخول غير المراقبة,HRMS-T-010,سحب قائمة جميع حسابات Administrator في HRMS والتحقق من وجود مبرر لكل حساب اختيار جميع الحسابات والتحقق من أن العدد مقتصر على الضروري التحقق من إزالة الحسابات الزائدة,جميع Admin,قائمة حسابات Admin | المبررات | سجل الإزالة,عدد حسابات Admin مقتصر على 3-5 حسابات فقط لكل واحد مبرر واضح,WP-10,HRMS Access Management,B - Sensitive Data & SoD
11,HRMS-011,قد تؤدي الحسابات المشتركة إلى عدم إمكانية تتبع المسؤوليات,Audit Trail,High,HRMS-C-011,حسابات فردية إلزامية,ضمان قابلية تتبع المسؤوليات والأنشطة,HRMS-T-011,سحب قائمة جميع المستخدمين في HRMS والتحقق من عدم وجود حسابات مشتركة أو مجموعة التحقق من أن كل حساب مسمى باسم فرد واحد مراجعة السجلات للتأكد من الالتزام,جميع المستخدمين,قائمة المستخدمين | أسماء الحسابات | السجلات,100% من الحسابات فردية بأسماء موظفين محددين,WP-11,HRMS Access Management & Audit Trail,B - Sensitive Data & SoD
12,HRMS-012,قد تؤدي عدم المراجعة الدورية إلى تراكم الصلاحيات غير المصرحة,Access Control,High,HRMS-C-012,مراجعة دورية للصلاحيات (Access Recertification),ضمان أن الصلاحيات لا تزال ضرورية وصحيحة,HRMS-T-012,الحصول على سجل مراجعات الصلاحيات لآخر سنة التحقق من إجراء مراجعة واحدة على الأقل كل ربع سنة اختيار 2 مراجعة والتحقق من شمولها لجميع المستخدمين والتحقق من التوقيعات والموافقات,4 مراجعات,سجل المراجعات | تأكيدات المديرين | السجلات,تم إجراء مراجعات دورية بشكل منتظم,WP-12,HRMS Access Management & Compliance,B - Sensitive Data & SoD
13,HRMS-013,قد يؤدي غياب السجل إلى عدم إمكانية التحقيق والتدقيق,Audit Trail,Critical,HRMS-C-013,سجل شامل وآمن لتغييرات الصلاحيات,تمكين التدقيق والتحقيق,HRMS-T-013,مراجعة إعدادات التسجيل في HRMS التحقق من تفعيل تسجيل جميع التغييرات التحقق من حماية السجلات من التعديل اختيار 30 عملية من السجل والتحقق من وجود: التاريخ والوقت من قام بالعملية نوع العملية التفاصيل,30 عملية,إعدادات التسجيل | السجلات | إجراءات الحماية,التسجيل كامل وآمن مع جميع التفاصيل المطلوبة,WP-13,HRMS Access Management & Audit Trail,B - Sensitive Data & SoD
14,HRMS-014,قد يؤدي التصدير غير المحدود إلى تسرب بيانات الموظفين,Data Protection,Critical,HRMS-C-014,قيود التصدير والمشاركة,منع التسرب غير المصرح للبيانات الحساسة,HRMS-T-014,الحصول على سجل تصديرات البيانات من آخر 3 أشهر اختيار 10 عمليات تصدير والتحقق من وجود موافقة قبل التصدير التحقق من توثيق من قام بالتصدير والتاريخ والكمية التحقق من أن التصدير مقيد على فئات محدودة من المستخدمين,10,سجل التصدير | الموافقات | السجلات الأمنية,جميع عمليات التصدير موثقة وموافق عليها,WP-14,HRMS Access Management & Data Protection,B - Sensitive Data & SoD
15,HRMS-015,قد تؤدي عدم تقييد الوصول إلى وصول متوسع للبيانات الحساسة,Access Control,Critical,HRMS-C-015,تطبيق مبدأ أقل صلاحية (Least Privilege),تقليل سطح التعرض للخطر,HRMS-T-015,مراجعة مصفوفة الأدوار الحالية والتحقق من تطبيق أقل صلاحية اختيار 20 موظف من أدوار مختلفة والتحقق من أن الصلاحيات محدودة للضروري التحقق من عدم وجود صلاحيات إضافية غير مبررة,20,مصفوفة الأدوار | صلاحيات المستخدمين من HRMS | السجلات,95% من الموظفين يطبقون أقل صلاحية,WP-15,HRMS Access Management & Data Protection,B - Sensitive Data & SoD
16,HRMS-016,قد تؤدي عدم المراقبة إلى عدم اكتشاف الانتهاكات,Monitoring,Critical,HRMS-C-016,مراقبة وتنبيهات الأنشطة المريبة,الكشف المبكر والاستجابة السريعة للحوادث,HRMS-T-016,مراجعة إعدادات المراقبة والتنبيهات في HRMS والـ SIEM التحقق من وجود قواعل تنبيه للأنشطة المريبة اختيار 10 حالات تنبيه من آخر شهر والتحقق من التحقيق والاستجابة,10,قواعل التنبيه | سجل التنبيهات | سجلات الاستجابة,نظام مراقبة فعّال مع تنبيهات واستجابة,WP-16,HRMS Access Management & Monitoring,C - Monitoring & Technical Security
17,HRMS-017,قد يؤدي إلى تسرب البيانات الحساسة عند النقل,Data Protection,Critical,HRMS-C-017,تشفير البيانات أثناء النقل,حماية البيانات من الاعتراض والتسرب,HRMS-T-017,فحص إعدادات HTTPS في HRMS والتحقق من تفعيل TLS 1.2 أو أعلى اختبار الاتصال باستخدام SSL/TLS Checker التحقق من صحة الشهادات واختبار الخاصية,1,إعدادات HRMS | تقارير SSL/TLS | الشهادات,HTTPS مفعّل مع TLS 1.2+ وشهادات صحيحة,WP-17,HRMS Access Management & Data Protection,C - Monitoring & Technical Security
