#,رقم الضابط,اسم الضابط,وصف الضابط,الهدف من الضابط,المخاطر المرتبطة,خطوات التنفيذ,معايير القياس,دليل الاختبار,مالك الضابط,تكرار المراجعة,حالة التطبيق
1,HRMS-C-001,مصفوفة الأدوار والصلاحيات,إنشاء وتوثيق مصفوفة واضحة تحدد الصلاحيات المسموح بها لكل دور وظيفي,ضمان أن الصلاحيات تتطابق بالضبط مع المتطلبات الوظيفية,HRMS-001 | HRMS-006 | HRMS-010,1. توثيق الأدوار الأساسية في HRMS 2. تحديد الصلاحيات المطلوبة لكل دور 3. توثيق المصفوفة والحصول على الموافقة 4. تنفيذها في النظام,مصفوفة موثقة | موافقة من الإدارة | تطبيق في النظام,عرض المصفوفة | التحقق من الموافقة | اختبار عشوائي لـ 10 موظفين,HRMS Admin & HR Manager,سنوي,تطبيق جزئي
2,HRMS-C-002,عملية طلب وموافقة الصلاحيات,إنشاء عملية رسمية موثقة لطلب منح الصلاحيات مع موافقة من المدير والإدارة,ضمان أن كل صلاحية يتم منحها بناءً على موافقة رسمية موثقة,HRMS-002 | HRMS-001,1. تصميم نموذج طلب صلاحيات 2. تحديد مستويات الموافقة (Manager, Director, HR) 3. توثيق العملية 4. تنفيذ في HRMS أو نظام تتبع,نموذج موثق | نظام تتبع الطلبات | سجلات الموافقة,مراجعة 20 طلب صلاحيات | التحقق من الموافقات | فحص سجل التتبع,HR Manager & HRMS Admin,ربع سنوي,تطبيق أساسي
3,HRMS-C-003,عملية تحديث الصلاحيات عند تغيير الوظيفة,إنشاء عملية آلية أو منظمة لإزالة الصلاحيات القديمة وتعيين جديدة عند تغيير الموظف,ضمان عدم بقاء صلاحيات غير ضرورية بعد تغيير الوظيفة,HRMS-003 | HRMS-006,1. إعداد قائمة بالتغييرات الوظيفية الشهرية 2. مراجعة الصلاحيات الحالية 3. إزالة القديمة وتعيين الجديدة 4. توثيق التغييرات,قائمة تغييرات شهرية | سجل التغييرات | موافقة من HR,مراجعة 10 تغييرات وظيفية | التحقق من إزالة الصلاحيات القديمة | فحص الصلاحيات الجديدة,HRMS Admin & HR Manager,شهري,تطبيق جزئي
4,HRMS-C-004,عملية فوري لإلغاء صلاحيات الموظفين المنتهية خدماتهم,إنشاء عملية سريعة (في نفس اليوم) لإلغاء جميع الصلاحيات عند انتهاء الموظف,ضمان عدم استمرار الوصول بعد الإنهاء,HRMS-004 | HRMS-005,1. تلقي إشعار من HR بانتهاء الموظف 2. إلغاء الصلاحيات في HRMS فوراً 3. توثيق الإلغاء 4. إرسال تأكيد,إجراء موثق | تنبيه فوري | سجل الإلغاء,مراجعة 5 حالات انتهاء | التحقق من فورية الإلغاء | فحص السجل,HRMS Admin & IT Ops,فوري,تطبيق أساسي
5,HRMS-C-005,مراجعة دورية للحسابات المتروكة,إجراء مراجعة دورية (ربع سنوية) للتحقق من وجود حسابات متروكة بدون نشاط,تحديد والقضاء على حسابات Orphan,HRMS-005,1. سحب تقرير بآخر نشاط لكل مستخدم 2. تحديد الحسابات الخامدة (6 أشهر بدون نشاط) 3. التحقق من الحالة 4. إغلاق الحسابات غير المبررة,تقرير النشاط | قائمة الحسابات الخاملة | توثيق الإجراء,سحب التقرير | فحص الحسابات المحددة | التحقق من الإغلاق,HRMS Admin,ربع سنوي,غير مطبق
6,HRMS-C-006,مراقبة Privilege Creep,مراقبة دورية (ربع سنوية) للصلاحيات المتراكمة التي تتجاوز الحد الأدنى المطلوب,ضمان عدم تجاوز الصلاحيات لمبدأ أقل صلاحية,HRMS-006,1. سحب تقرير الصلاحيات لكل مستخدم 2. مقارنة مع المصفوفة المعتمدة 3. تحديد الصلاحيات الزائدة 4. إزالتها بموافقة,تقرير الصلاحيات | قائمة الزيادات | توثيق الإزالة,سحب التقرير | فحص 20 مستخدم | التحقق من الإزالة,HRMS Admin,ربع سنوي,تطبيق جزئي
7,HRMS-C-007,تقييد الوصول إلى بيانات الرواتب,تطبيق قيود وصول قوية بحيث يقتصر الوصول على من يحتاج وظيفياً فقط,منع الوصول غير المبرر إلى البيانات الحساسة,HRMS-007 | HRMS-015,1. تحديد من يحتاج لكل بيانات رواتب 2. تطبيق قيود الوصول في النظام 3. تسجيل جميع الوصول 4. مراجعة دورية,قيود وصول موثقة | سجل الوصول | موافقة من Finance,اختبار الوصول | فحص السجل | مراجعة 10 حالات,HRMS Admin & Finance,ربع سنوي,تطبيق أساسي
8,HRMS-C-008,فصل الواجبات في تعديل الرواتب,فرض فصل واجبات حتمي بحيث لا يستطيع الشخص تعديل الراتب والموافقة عليه,منع التلاعب والاحتيال في الرواتب,HRMS-008,1. توثيق العملية (من يعدل، من يوافق) 2. تطبيق في النظام (منع الموافقة من محرر) 3. سجل كامل للتعديلات 4. مراجعة شهرية,عملية موثقة | إعدادات النظام | سجل التعديلات,فحص إعدادات HRMS | اختبار التعديلات | مراجعة 10 تعديلات,Finance & HRMS Admin,شهري,تطبيق شامل
9,HRMS-C-009,فصل الواجبات في تعديل بيانات الموظف,فرض فصل واجبات بحيث لا يستطيع الشخص تعديل البيانات والموافقة عليها,منع التعديلات الاحتيالية على بيانات الموظفين,HRMS-009,1. توثيق العملية (من يعدل، من يوافق) 2. تطبيق في النظام 3. سجل كامل للتعديلات 4. مراجعة دورية,عملية موثقة | إعدادات النظام | سجل التعديلات,فحص إعدادات HRMS | اختبار التعديلات | مراجعة 10 تعديلات,HR & HRMS Admin,شهري,تطبيق شامل
10,HRMS-C-010,تقليل الصلاحيات الإدارية,مراجعة وتقليل صلاحيات Administrator إلى الحد الأدنى الضروري مع مبرر واضح,تقليل نقاط الدخول غير المراقبة,HRMS-010,1. مراجعة جميع حسابات Admin 2. تحديد من يحتاجها فعلاً 3. إزالة الزائدة 4. توثيق المبررات,قائمة Admin موثقة | مبررات واضحة | سجل الإزالة,سحب تقرير Admin | فحص المبررات | التحقق من الإزالة,HRMS Admin & CISO,سنوي,تطبيق أساسي
